id,seq,speaker,text,portrait
prologue_10,115,ギルド長,彼の怪我の具合はどうなんだね。,res://ui/portraits/guildmaster_01.png
prologue_10,120,主人公,行商が出来ない程度だと言っていました。そこまでひどくはないみたいです。,res://ui/portraits/hero_01.png
prologue_10,125,ギルド長,そうかそうか。早く復帰してもらえると良いが……。,res://ui/portraits/guildmaster_01.png
prologue_10,130,ギルド長,彼は Pilton 地区では貴重な行商人だからね。,res://ui/portraits/guildmaster_01.png
prologue_10,135,主人公,貴重、ですか？,res://ui/portraits/hero_01.png
prologue_10,140,ギルド長,ああ。理由はいろいろあるんだが……。,res://ui/portraits/guildmaster_01.png
prologue_10,145,ギルド長,Pilton 地区では、行商人の数は年々減っていっているんだ。,res://ui/portraits/guildmaster_01.png
prologue_10,150,主人公,そうなんだ……。,res://ui/portraits/hero_01.png
prologue_10,155,受付,お待たせしました。こちらが代金になります。,res://ui/portraits/clerk_01.png
prologue_10,160,主人公,あ、ありがとうございます。,res://ui/portraits/hero_01.png
prologue_10,165,ギルド長,気を付けて帰るといい。父上にもよろしく伝えてくれ。,res://ui/portraits/guildmaster_01.png
prologue_10,170,主人公,はい、失礼します。,res://ui/portraits/hero_01.png
prologue_10,175,主人公,……よし、何とか代役をこなすことが出来た。,res://ui/portraits/hero_01.png
prologue_10,180,主人公,一つの契約だけで、いろんな人と話したな。,res://ui/portraits/hero_01.png
prologue_10,185,主人公,これが商人の仕事なんだ……。,res://ui/portraits/hero_01.png
prologue_10,190,主人公,さ、帰ろう。,res://ui/portraits/hero_01.png
prologue_15,5,主人公,ただいま。,res://ui/portraits/hero_01.png
prologue_15,10,父親,おお、お帰り。大丈夫だったか？,res://ui/portraits/father_01.png
prologue_15,15,主人公,荷物を届けて代金を回収できた、って意味なら大丈夫だったよ。,res://ui/portraits/hero_01.png
prologue_15,20,主人公,はい、これ。,res://ui/portraits/hero_01.png
prologue_15,25,父親,はは、含みがあるな。,res://ui/portraits/father_01.png
prologue_15,30,父親,それを分かって送り出したのは、俺だが……,res://ui/portraits/father_01.png
prologue_15,35,父親,だけど、ちゃんとこなせたみたいじゃないか。,res://ui/portraits/father_01.png
prologue_15,40,主人公,……まあね。,res://ui/portraits/hero_01.png
prologue_15,45,父親,お前には、商人としての読み書きや計算は教えてきた。,res://ui/portraits/father_01.png
prologue_15,50,父親,だが俺もまだまだ元気だったからな。,res://ui/portraits/father_01.png
prologue_15,55,父親,跡を継がせるのは、もっと先でいいと思っていたが……。,res://ui/portraits/father_01.png
prologue_15,60,主人公,！,res://ui/portraits/hero_01.png
prologue_15,65,父親,今回、行ってみてどうだった。,res://ui/portraits/father_01.png
prologue_15,70,主人公,……。,res://ui/portraits/hero_01.png
prologue_15,75,主人公,僕、行商人やってみたい。,res://ui/portraits/hero_01.png
prologue_15,80,主人公,たった一件だけど、大変な仕事だと思った。,res://ui/portraits/hero_01.png
prologue_15,85,主人公,でも、父さんの息子だからって、話が通されたことが何度もあったんだ。,res://ui/portraits/hero_01.png
prologue_15,90,主人公,僕も、そんな信用のある行商人になりたい。,res://ui/portraits/hero_01.png
prologue_15,95,父親,……そうか。,res://ui/portraits/father_01.png
prologue_15,100,父親,よし、分かった！,res://ui/portraits/father_01.png
prologue_15,105,父親,俺もまだ引退するつもりはないが、お前にも行商人として働いてもらおう。,res://ui/portraits/father_01.png
prologue_15,110,主人公,はい！,res://ui/portraits/hero_01.png
prologue_15,115,父親,じゃあ、俺のギルド許可証を返してくれるか。,res://ui/portraits/father_01.png
prologue_15,120,主人公,あ、そうだった……。,res://ui/portraits/hero_01.png
prologue_15,125,父親,商人として働く以上、今後はお前自身の信用を築かなければならん。,res://ui/portraits/father_01.png
prologue_15,130,主人公,うん。,res://ui/portraits/hero_01.png
prologue_15,135,父親,また Pilton の商人ギルドを訪ねるといい。,res://ui/portraits/father_01.png
prologue_15,140,父親,紹介状くらいは書いてやるが、自分の力でギルド長の信用を得ることから始めるんだ。,res://ui/portraits/father_01.png
prologue_15,145,主人公,分かった。頑張るよ！,res://ui/portraits/hero_01.png
tuto_intro,1,案内人,ようこそギルドの街へ。ここでは買い付けと販売で利益を出していきます。,res://ui/portraits/guide.png
tuto_intro,2,案内人,まずは市場を開いて相場を見てみましょう。需要が高い都市で売るのが基本です。,res://ui/portraits/guide.png
tuto_intro,3,案内人,準備ができたらマップで隣町へ移動してみてください。,res://ui/portraits/guide.png
event_fair_city,1,市の知らせ,本日、中央広場で定期市が開催されます！,res://ui/portraits/town_crier.png
event_fair_city,2,市の知らせ,需要が高まりスプレッドが狭くなります。仕入れの好機かもしれません。,res://ui/portraits/town_crier.png
